Dates,Canadian Dollar ($CADUSD) - Rate Value,Canada Prime Rate (%PRC1) - Rate Value,United States Prime Rate - Rate Value,Prime Rate Difference,Prime Rate Difference Percentage
1983-12-29,1.25,11.0,11.0,0.0,0.0
1983-12-30,1.24,11.0,11.0,0.0,0.0
1984-01-03,1.25,11.0,11.0,0.0,0.0
1984-01-04,1.25,11.0,11.0,0.0,0.0
1984-01-05,1.25,11.0,11.0,0.0,0.0
1984-01-06,1.25,11.0,11.0,0.0,0.0
1984-01-09,1.25,11.0,11.0,0.0,0.0
1984-01-10,1.25,11.0,11.0,0.0,0.0
1984-01-11,1.25,11.0,11.0,0.0,0.0
1984-01-12,1.25,11.0,11.0,0.0,0.0
1984-01-13,1.25,11.0,11.0,0.0,0.0
1984-01-16,1.24,11.0,11.0,0.0,0.0
1984-01-17,1.25,11.0,11.0,0.0,0.0
1984-01-18,1.25,11.0,11.0,0.0,0.0
1984-01-19,1.25,11.0,11.0,0.0,0.0
1984-01-20,1.25,11.0,11.0,0.0,0.0
1984-01-23,1.25,11.0,11.0,0.0,0.0
1984-01-24,1.25,11.0,11.0,0.0,0.0
1984-01-25,1.25,11.0,11.0,0.0,0.0
1984-01-26,1.25,11.0,11.0,0.0,0.0
1984-01-27,1.25,11.0,11.0,0.0,0.0
1984-01-30,1.25,11.0,11.0,0.0,0.0
1984-01-31,1.25,11.0,11.0,0.0,0.0
1984-02-01,1.25,11.0,11.0,0.0,0.0
1984-02-02,1.25,11.0,11.0,0.0,0.0
1984-02-03,1.25,11.0,11.0,0.0,0.0
1984-02-06,1.25,11.0,11.0,0.0,0.0
1984-02-07,1.25,11.0,11.0,0.0,0.0
1984-02-08,1.25,11.0,11.0,0.0,0.0
1984-02-09,1.25,11.0,11.0,0.0,0.0
1984-02-10,1.25,11.0,11.0,0.0,0.0
1984-02-13,1.25,11.0,11.0,0.0,0.0
1984-02-14,1.25,11.0,11.0,0.0,0.0
1984-02-15,1.25,11.0,11.0,0.0,0.0
1984-02-16,1.25,11.0,11.0,0.0,0.0
1984-02-17,1.25,11.0,11.0,0.0,0.0
1984-02-21,1.25,11.0,11.0,0.0,0.0
1984-02-22,1.25,11.0,11.0,0.0,0.0
1984-02-23,1.25,11.0,11.0,0.0,0.0
1984-02-24,1.25,11.0,11.0,0.0,0.0
1984-02-27,1.25,11.0,11.0,0.0,0.0
1984-02-28,1.25,11.0,11.0,0.0,0.0
1984-02-29,1.25,11.0,11.0,0.0,0.0
1984-03-01,1.24,11.0,11.0,0.0,0.0
1984-03-02,1.25,11.0,11.0,0.0,0.0
1984-03-05,1.25,11.0,11.0,0.0,0.0
1984-03-06,1.26,11.0,11.0,0.0,0.0
1984-03-07,1.26,11.0,11.0,0.0,0.0
1984-03-08,1.27,11.0,11.0,0.0,0.0
1984-03-09,1.27,11.0,11.0,0.0,0.0
1984-03-12,1.28,11.0,11.0,0.0,0.0
1984-03-13,1.27,11.0,11.0,0.0,0.0
1984-03-14,1.27,11.0,11.0,0.0,0.0
1984-03-15,1.27,11.0,11.0,0.0,0.0
1984-03-16,1.27,11.0,11.0,0.0,0.0
1984-03-19,1.28,11.0,11.5,-0.5,0.045454545454545414
1984-03-20,1.28,11.0,11.5,-0.5,0.045454545454545414
1984-03-21,1.28,11.0,11.5,-0.5,0.045454545454545414
1984-03-22,1.27,11.0,11.5,-0.5,0.045454545454545414
1984-03-23,1.28,11.5,11.5,0.0,0.0
1984-03-26,1.28,11.5,11.5,0.0,0.0
1984-03-27,1.28,11.5,11.5,0.0,0.0
1984-03-28,1.28,11.5,11.5,0.0,0.0
1984-03-29,1.28,11.5,11.5,0.0,0.0
1984-03-30,1.28,11.5,11.5,0.0,0.0
1984-04-02,1.27,11.5,11.5,0.0,0.0
1984-04-03,1.28,11.5,11.5,0.0,0.0
1984-04-04,1.28,11.5,11.5,0.0,0.0
1984-04-05,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-06,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-09,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-10,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-11,1.28,11.5,12.0,-0.5,0.04347826086956519
1984-04-12,1.28,11.5,12.0,-0.5,0.04347826086956519
